代號,簡稱,日期,序號,主旨,Unnamed: 5
4438,廣越,112/06/16,1,公告本公司決議股利配發基準日及轉換公司債停止轉換期間,
6165,浪凡,112/06/16,1,公告本公司「國內第一次及第二次私募國內有擔保可轉換公司債」 轉換私募普通股發行新股基準日案,
2421,建準,112/06/16,1,公告本公司國內第三次無擔保轉換公司債轉換價格調整,
6196,帆宣,112/06/15,1,公告本公司發行國內第五次無擔保轉換公司債之轉換價格及溢價率,
3042,晶技,112/06/15,1,公告本公司國內第五次無擔保轉換公司債轉換價格調整事宜,
3617,碩天,112/06/14,1,公告本公司發行國內第二次無擔保轉換公司債收足債款,
代號,簡稱,日期,序號,主旨,
6282,康舒,112/06/13,1,公告本公司國內第二次無擔保轉換公司債轉換價格調整,
6282,康舒,112/06/12,1,公告本公司國內第二次無擔保轉換公司債收足債款,
3010,華立,112/06/12,1,本公司國內第三次無擔保轉換公司債轉換價格調整,
2069,運錩,112/06/12,1,公告本公司除息基準日暨轉換公司債停止轉換期間公告,
3416,融程電,112/06/12,2,公告本公司國內第二次無擔保轉換公司債價格調整事宜,
3092,鴻碩,112/06/12,1,公告本公司國內第二次無擔保轉換公司債之轉換價格及 溢價率,
8367,建新國際,112/06/12,1,公告本公司訂定配息基準日及國內可轉換公司債停止轉換 期間,
2376,技嘉,112/06/09,6,公告本公司董事會決議發行海外第三次無擔保轉換公司債,
4958,臻鼎-KY,112/06/09,1,公告海外第三次無擔保轉換公司債之轉換價格,
6196,帆宣,112/06/09,3,公告本公司簽訂國內第五次無擔保轉換公司債之委託代收價款合約 及委託存儲價款合約,
代號,簡稱,日期,序號,主旨,
2482,連宇,112/06/08,1,本公司可轉換公司債連宇二(代號:24822)近期達公布注意 交易資訊標準，故公告相關訊息以利投資人區別瞭解。,
2630,亞航,112/06/08,2,本公司可轉換公司債亞航二(代號:26302)近期達公布注意交 易資訊標準，故公告相關訊息，以利投資人區別瞭解。,
1101,台泥,112/06/08,1,公告本公司111年度股利除息基準日及110年度第一次海外 無擔保可轉換公司債之停止轉換期間,
3701,大眾控,112/06/08,1,公告本公司112年現金增資認股基準日 暨轉換公司債停止轉換期間,
3701,大眾控,112/06/08,2,公告本公司除息基準日等相關事宜暨轉換公司債停止轉換期間,
2630,亞航,112/06/08,1,公告112 年現金增資發行新股認股基準日、股款繳款期 間等相關事宜暨國內第二次無擔保轉換公司債停止轉換期間。 (補充發行價格),
6282,康舒,112/06/07,3,公告本公司國內第一次無擔保轉換公司債轉換價格調整,
9906,欣巴巴,112/06/07,3,公告本公司國內第一次有擔保轉換公司債收足債款,
2327,國巨,112/06/06,3,代子公司奇力新電子股份有限公司公告國內第六次 無擔保轉換公司債停止受理轉換等相關事項,
2327,國巨,112/06/06,2,公告本公司現金股利除息基準日 暨國內外轉換公司債停止轉換期間,
代號,簡稱,日期,序號,主旨,
8112,至上,112/06/06,1,公告本公司甲種特別股股息暨普通股現金股利除息基準日、 發放日及國內第九次無擔保轉換公司債停止轉換期間,
6282,康舒,112/06/05,2,公告本公司國內第二次無擔保轉換公司債之轉換價格 及溢價率,
2603,長榮,112/06/01,1,公告本公司國內第四次無擔保轉換公司債轉換價格調整,
5608,四維航,112/06/01,2,公告本公司國內第六次有擔保轉換公司債代收及存儲價款 專戶機構,
5608,四維航,112/06/01,1,公告本公司國內第六次有擔保轉換公司債完成訂價,
5434,崇越,112/06/01,1,公告本公司國內第二次無擔保轉換公司債委託代收價款及 存儲專戶行庫,
3023,信邦,112/06/01,1,公告本公司國內第七次無擔保轉換公司債 (信邦七， 債券代號30237)行使贖回權暨訂於112年7月31日終止櫃檯買賣 相關事宜,
6282,康舒,112/05/31,1,公告本公司國內第二次無擔保轉換公司債代收價款行庫 及存儲專戶行庫,
6591,動力-KY,112/05/31,2,公告本公司配發現金股利除息基準日及國內第二次、第三次 無擔保轉換公司債停止轉換期間相關事宜,
2630,亞航,112/05/31,1,公告112 年現金增資發行新股認股基準日、股款繳款期 間等相關事宜暨國內第二次無擔保轉換公司債停止轉換期間。 (補充公告代收及存儲機構、調整原股東認購比率),
代號,簡稱,日期,序號,主旨,
3092,鴻碩,112/05/30,7,公告本公司簽訂國內第二次無擔保轉換公司債委託代收及 存儲價款行庫,
4916,事欣科,112/05/30,2,公告本公司發行國內第四次無擔保轉換公司債收足應募價款,
2748,雲品,112/05/30,2,公告本公司111年度股利除息基準日及第一次國內無擔保 轉換公司債之停止轉換期間,
3010,華立,112/05/30,6,公告本公司除息基準日及國內第三次無擔保轉換公司債 停止轉換期間,
3591,艾笛森,112/05/30,2,公告本公司除息基準日及國內轉換公司債停止轉換期間,
3701,大眾控,112/05/29,2,公告本公司國內第二次無擔保轉換公司債收足價款,
9958,世紀鋼,112/05/26,1,公告本公司變更國內第五次無擔保轉換公司債發行總額及 承銷方式(更正112/05/25公告主旨),
9958,世紀鋼,112/05/25,2,本公司董事會決議通過發行國內第六次無擔保轉換公司債,
9958,世紀鋼,112/05/25,1,公告本公司變更國內第五次無擔保轉換公司債募得價款之 用途及運用計畫,
2630,亞航,112/05/24,3,本公司可轉換公司債亞航二(代號:26302) 近期達公布注意交易資訊標準， 故公告相關訊息，以利投資人區別瞭解,
代號,簡稱,日期,序號,主旨,
